CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F2383,F2384,F323339,
49279,E01030799,Surrey Heath 005D,Lower Super Output Areas and Data Zones,LSOADZ,22.44865,1388,928,
49280,E01030800,Surrey Heath 005E,Lower Super Output Areas and Data Zones,LSOADZ,14.17082,1621,4860,
49281,E01030801,Surrey Heath 004D,Lower Super Output Areas and Data Zones,LSOADZ,18.14398,1613,926,
49282,E01030802,Surrey Heath 004E,Lower Super Output Areas and Data Zones,LSOADZ,28.27296,1678,1648,
49283,E01030803,Surrey Heath 008D,Lower Super Output Areas and Data Zones,LSOADZ,23.30508,1705,2407,
49284,E01030804,Surrey Heath 008E,Lower Super Output Areas and Data Zones,LSOADZ,23.06621,1822,1216,
49285,E01030805,Surrey Heath 008F,Lower Super Output Areas and Data Zones,LSOADZ,27.36151,1625,1157,
49286,E01030806,Surrey Heath 006C,Lower Super Output Areas and Data Zones,LSOADZ,5.302163,1574,952,
49287,E01030807,Surrey Heath 006D,Lower Super Output Areas and Data Zones,LSOADZ,4.773683,1544,1549,
49288,E01030808,Surrey Heath 006E,Lower Super Output Areas and Data Zones,LSOADZ,1.893029,1575,1153,
49289,E01030809,Surrey Heath 001D,Lower Super Output Areas and Data Zones,LSOADZ,5.510479,1433,1074,
49290,E01030810,Surrey Heath 001E,Lower Super Output Areas and Data Zones,LSOADZ,6.030625,1469,1831,
49291,E01030811,Surrey Heath 001F,Lower Super Output Areas and Data Zones,LSOADZ,3.298723,1490,983,
